Manf#,Quantity,Description
CC0805KRX7R8BB104,38,CAP CER 0.1UF 25V X7R 0805
CL21A106KQCLRNC,29,10F C
RC0805JR-071KL,20,SMD 1K R 5% 1/8W 0805
SJ-3523-SMT-TR,2,TRS 3.5Female audio jack
RC0805FR-07499RL,34,RES SMD 499 OHM 1% 1/8W 0805
LTST-C150GKT,28,LED GREEN CLEAR 1206 SMD
08055C333KAT2A,24,CAP CER 0.033UF 50V X7R 0805
C0805JR-0710KL,24,10K R
