Manf#,Quantity,Description
ATM90E26-YU-B,****, atm90e26 Energy monitor IC
CL21A106KQCLRNC,26,10F C
RC0805JR-071KL,20,SMD 1K R 5% 1/8W 0805
08055C333KAT2A,12,CAP CER 0.033UF 50V X7R 0805
